 Mortalidade - Brasil - Dados preliminares
Óbitos p/Residênc por Município e Faixa Etária
Causas evitáveis - 0 a 4 anos: 1.1. Reduzível pelas ações de imunização, 1.2.1 Reduzíveis atenção à mulher na gestação, 1.2.2 Reduz por adequada atenção à mulher no parto, 1.2.3 Reduzíveis adequada atenção ao recém-nascido, 1.3. Reduz ações diagnóstico e tratamento adequado, 1.4. Reduz. ações promoção à saúde vinc. Aç. At
Faixa Etária: Menor 1 ano, 1 a 4 anos, 5 a 9 anos
Período:2017
"Município";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"Total"
"313655 José Raydan";1;-;-;1
"313670 Juiz de Fora";49;4;1;54
"313680 Juramento";1;-;-;1
"313690 Juruaia";3;-;-;3
"313700 Ladainha";3;3;-;6
"313720 Lagoa da Prata";3;-;-;3
"313730 Lagoa dos Patos";-;1;-;1
"313740 Lagoa Dourada";2;-;-;2
"313750 Lagoa Formosa";3;-;-;3
"313753 Lagoa Grande";1;-;-;1
"313760 Lagoa Santa";7;-;-;7
"313770 Lajinha";2;1;1;4
"313780 Lambari";2;-;-;2
"313790 Lamim";-;1;-;1
"313820 Lavras";20;1;-;21
"313830 Leandro Ferreira";2;-;-;2
"313840 Leopoldina";3;1;-;4
"313850 Liberdade";1;-;-;1
"313862 Limeira do Oeste";1;-;-;1
"313865 Lontra";1;-;-;1
"313867 Luisburgo";2;-;-;2
"313870 Luminárias";1;-;-;1
"313880 Luz";2;1;-;3
"313900 Machado";10;-;-;10
"313910 Madre de Deus de Minas";1;-;-;1
"313920 Malacacheta";1;1;-;2
"313930 Manga";7;1;-;8
"313940 Manhuaçu";13;3;-;16
"313950 Manhumirim";1;1;-;2
"313960 Mantena";2;-;-;2
"313980 Mar de Espanha";2;-;-;2
"313970 Maravilhas";1;-;-;1
"313990 Maria da Fé";-;1;-;1
"314000 Mariana";4;-;-;4
"314010 Marilac";2;-;-;2
"314015 Mário Campos";1;-;-;1
"314030 Marliéria";2;-;-;2
"314050 Martinho Campos";1;-;-;1
"314053 Martins Soares";1;-;1;2
"314060 Materlândia";-;1;-;1
"314070 Mateus Leme";3;-;-;3
"314080 Matias Barbosa";3;-;1;4
"314085 Matias Cardoso";1;-;-;1
"314090 Matipó";3;-;1;4
"314100 Mato Verde";3;-;1;4
"314110 Matozinhos";4;-;-;4
"314120 Matutina";1;-;-;1
"314140 Medina";1;-;-;1
"314150 Mendes Pimentel";1;-;-;1
"314160 Mercês";1;-;-;1
"314180 Minas Novas";1;-;2;3
"314200 Mirabela";3;-;-;3
"314210 Miradouro";1;-;2;3
"314225 Miravânia";1;-;-;1
"314290 Monte Azul";3;-;-;3
"314300 Monte Belo";1;-;-;1
"314310 Monte Carmelo";6;-;-;6
"314320 Monte Santo de Minas";1;-;-;1
"314340 Monte Sião";2;-;-;2
"314330 Montes Claros";33;5;1;39
"314345 Montezuma";1;-;-;1
"314350 Morada Nova de Minas";2;-;-;2
"314380 Munhoz";-;1;-;1
"314390 Muriaé";4;-;-;4
"314400 Mutum";1;-;-;1
"314410 Muzambinho";1;-;-;1
"314430 Nanuque";3;-;1;4
"314450 Nazareno";1;-;-;1
"314460 Nepomuceno";3;-;-;3
"314465 Ninheira";1;-;-;1
"314480 Nova Lima";9;2;-;11
"314500 Nova Ponte";3;-;-;3
"314505 Nova Porteirinha";3;1;-;4
"314520 Nova Serrana";13;-;-;13
"314535 Novo Oriente de Minas";2;-;-;2
"314537 Novorizonte";1;-;-;1
"314540 Olaria";1;-;-;1
"314560 Oliveira";2;1;-;3
"314580 Onça de Pitangui";1;-;-;1
"314587 Orizânia";2;-;2;4
"314590 Ouro Branco";4;-;-;4
"314600 Ouro Fino";3;-;-;3
"314610 Ouro Preto";8;-;-;8
"314620 Ouro Verde de Minas";2;-;-;2
"314625 Padre Carvalho";1;1;-;2
"314630 Padre Paraíso";2;-;-;2
"314655 Pai Pedro";1;-;1;2
"314650 Pains";1;-;-;1
"314675 Palmópolis";-;1;1;2
"314690 Papagaios";3;-;-;3
"314710 Pará de Minas";9;-;1;10
"314700 Paracatu";20;1;2;23
"314720 Paraguaçu";4;1;-;5
"314730 Paraisópolis";-;1;-;1
"314740 Paraopeba";1;-;1;2
"314760 Passa Quatro";3;-;-;3
"314770 Passa Tempo";1;-;-;1
"314790 Passos";9;1;1;11
"314800 Patos de Minas";16;3;1;20
"314810 Patrocínio";10;1;-;11
"314830 Paula Cândido";1;-;-;1
"314860 Peçanha";2;1;-;3
"314870 Pedra Azul";3;-;-;3
"314880 Pedra do Anta";1;-;-;1
"314930 Pedro Leopoldo";4;2;-;6
"314980 Perdizes";2;-;1;3
"314990 Perdões";2;-;-;2
"314995 Periquito";-;1;-;1
"315000 Pescador";3;-;1;4
"315010 Piau";1;-;-;1
"315030 Piedade do Rio Grande";2;-;-;2
"315040 Piedade dos Gerais";1;-;-;1
"315070 Pirajuba";-;1;-;1
"315080 Piranga";2;-;-;2
"315100 Piranguinho";-;1;-;1
"315110 Pirapetinga";1;-;-;1
"315120 Pirapora";4;2;1;7
"315130 Piraúba";-;1;-;1
"315140 Pitangui";6;1;1;8
"315150 Piumhi";4;-;-;4
"315160 Planura";1;-;-;1
"315170 Poço Fundo";2;-;1;3
"315180 Poços de Caldas";13;1;2;16
"315190 Pocrane";2;-;-;2
"315200 Pompéu";3;1;-;4
"315210 Ponte Nova";6;-;-;6
"315213 Ponto Chique";1;-;-;1
"315217 Ponto dos Volantes";2;-;-;2
"315220 Porteirinha";2;-;-;2
"315230 Porto Firme";1;-;-;1
"315240 Poté";1;-;-;1
"315250 Pouso Alegre";10;-;1;11
"315270 Prados";1;-;-;1
"315280 Prata";6;-;-;6
"315300 Pratinha";-;1;-;1
"315320 Presidente Juscelino";1;-;-;1
"315340 Presidente Olegário";2;-;-;2
"315360 Prudente de Morais";-;-;1;1
"315390 Raposos";2;-;-;2
"315400 Raul Soares";2;-;1;3
"315420 Resende Costa";1;-;-;1
"315430 Resplendor";3;1;-;4
"315450 Riacho dos Machados";1;-;-;1
"315460 Ribeirão das Neves";19;5;3;27
"315470 Ribeirão Vermelho";1;-;-;1
"315490 Rio Casca";1;-;-;1
"315560 Rio Pardo de Minas";3;-;1;4
"315580 Rio Pomba";2;-;-;2
"315590 Rio Preto";1;-;-;1
"315630 Rodeiro";2;-;-;2
"315640 Romaria";-;1;-;1
"315645 Rosário da Limeira";1;-;-;1
"315650 Rubelita";1;-;-;1
"315660 Rubim";2;-;-;2
"315670 Sabará";18;4;1;23
"315680 Sabinópolis";2;-;-;2
"315690 Sacramento";-;1;1;2
"315700 Salinas";5;-;-;5
"315720 Santa Bárbara";5;-;-;5
"315770 Santa Juliana";1;1;-;2
"315780 Santa Luzia";13;1;3;17
"315790 Santa Margarida";3;-;-;3
"315800 Santa Maria de Itabira";1;-;-;1
"315820 Santa Maria do Suaçuí";3;-;-;3
"315935 Santa Rita de Minas";2;-;-;2
"315950 Santa Rita do Itueto";2;-;-;2
"315960 Santa Rita do Sapucaí";2;-;-;2
"315980 Santa Vitória";2;-;-;2
"315840 Santana de Cataguases";-;-;1;1
"315900 Santana do Riacho";1;-;-;1
"315910 Santana dos Montes";-;1;-;1
"315990 Santo Antônio do Amparo";2;-;-;2
"316020 Santo Antônio do Itambé";-;1;-;1
"316030 Santo Antônio do Jacinto";-;1;-;1
"316070 Santos Dumont";5;-;-;5
"316080 São Bento Abade";1;-;-;1
"316100 São Domingos do Prata";1;-;1;2
"316110 São Francisco";12;-;-;12
"316130 São Francisco de Sales";1;-;-;1
"316150 São Geraldo";1;-;-;1
"316200 São Gonçalo do Sapucaí";1;1;-;2
"316210 São Gotardo";7;-;-;7
"316220 São João Batista do Glória";2;-;-;2
"316225 São João da Lagoa";1;-;-;1
"316230 São João da Mata";1;-;-;1
"316240 São João da Ponte";2;1;-;3
"316245 São João das Missões";2;-;3;5
"316250 São João del Rei";11;-;1;12
"316255 São João do Manhuaçu";1;1;-;2
"316260 São João do Oriente";2;-;-;2
"316270 São João do Paraíso";3;-;-;3
"316280 São João Evangelista";2;-;-;2
"316290 São João Nepomuceno";2;-;-;2
"316292 São Joaquim de Bicas";1;-;-;1
"316294 São José da Barra";2;-;-;2
"316295 São José da Lapa";2;-;-;2
"316340 São José do Goiabal";2;-;-;2
"316370 São Lourenço";7;1;1;9
"316380 São Miguel do Anta";1;1;-;2
"316390 São Pedro da União";2;-;-;2
"316410 São Pedro do Suaçuí";1;-;-;1
"316400 São Pedro dos Ferros";1;-;-;1
"316430 São Roque de Minas";1;-;-;1
"316450 São Sebastião do Maranhão";3;-;-;3
"316470 São Sebastião do Paraíso";2;-;-;2
"316530 São Vicente de Minas";1;-;-;1
"316550 Sardoá";-;1;-;1
"316553 Sarzedo";3;-;-;3
"316560 Senador Cortes";1;-;-;1
"316570 Senador Firmino";1;-;-;1
"316600 Senhora de Oliveira";2;-;-;2
"316650 Serra Azul de Minas";-;-;1;1
"316680 Serra do Salitre";2;-;-;2
"316710 Serro";2;-;-;2
"316720 Sete Lagoas";22;-;-;22
"316555 Setubinha";4;1;-;5
"316760 Simonésia";2;-;-;2
"316770 Sobrália";2;-;-;2
"316800 Taiobeiras";8;1;-;9
"316840 Tarumirim";1;-;-;1
"316850 Teixeiras";1;-;-;1
"316860 Teófilo Otoni";17;2;3;22
"316870 Timóteo";2;-;1;3
"316880 Tiradentes";1;-;-;1
"316900 Tocantins";1;-;-;1
"316920 Tombos";-;1;-;1
"316930 Três Corações";8;1;1;10
"316935 Três Marias";2;-;-;2
"316940 Três Pontas";6;-;-;6
"316950 Tumiritinga";1;-;-;1
"316960 Tupaciguara";3;-;-;3
"316970 Turmalina";1;-;-;1
"316980 Turvolândia";1;-;-;1
"316990 Ubá";17;2;-;19
"317000 Ubaí";1;-;-;1
"317005 Ubaporanga";1;1;-;2
"317010 Uberaba";33;4;2;39
"317020 Uberlândia";57;7;6;70
"317030 Umburatiba";1;-;-;1
"317040 Unaí";8;-;-;8
"317043 União de Minas";1;-;-;1
"317047 Uruana de Minas";1;-;-;1
"317050 Urucânia";1;-;-;1
"317052 Urucuia";2;-;-;2
"317057 Vargem Alegre";1;-;-;1
"317070 Varginha";16;-;-;16
"317080 Várzea da Palma";1;-;-;1
"317090 Varzelândia";2;-;-;2
"317100 Vazante";1;-;-;1
"317103 Verdelândia";1;-;-;1
"317110 Veríssimo";1;-;-;1
"317115 Vermelho Novo";1;-;-;1
"317120 Vespasiano";15;1;-;16
"317130 Viçosa";8;1;-;9
"317180 Virginópolis";2;1;1;4
"317190 Virgolândia";1;-;-;1
"317200 Visconde do Rio Branco";5;-;-;5
"317210 Volta Grande";1;1;-;2
"320010 Afonso Cláudio";3;-;-;3
"320013 Águia Branca";1;1;-;2
"320020 Alegre";2;-;1;3
"320050 Apiacá";1;1;-;2
"320060 Aracruz";19;1;-;20
"320080 Baixo Guandu";6;-;-;6
"320090 Barra de São Francisco";4;-;1;5
"320100 Boa Esperança";1;-;1;2
"320115 Brejetuba";2;-;-;2
"320120 Cachoeiro de Itapemirim";25;6;1;32
"320130 Cariacica";44;3;2;49
"320140 Castelo";2;-;-;2
"320150 Colatina";13;-;1;14
"320160 Conceição da Barra";4;2;-;6
"320180 Divino de São Lourenço";1;-;-;1
"320190 Domingos Martins";4;1;-;5
"320210 Ecoporanga";5;-;1;6
"320220 Fundão";1;-;-;1
"320225 Governador Lindenberg";2;-;-;2
"320230 Guaçuí";3;-;-;3
"320240 Guarapari";14;-;1;15
"320245 Ibatiba";2;-;1;3
"320250 Ibiraçu";-;1;-;1
"320255 Ibitirama";1;-;1;2
"320260 Iconha";1;-;-;1
"320265 Irupi";2;-;-;2
"320270 Itaguaçu";2;-;-;2
"320280 Itapemirim";7;1;1;9
"320305 Jaguaré";7;1;-;8
"320313 João Neiva";3;-;-;3
"320320 Linhares";23;1;2;26
"320330 Mantenópolis";1;-;2;3
"320332 Marataízes";4;-;-;4
"320334 Marechal Floriano";2;2;-;4
"320340 Mimoso do Sul";-;1;-;1
"320350 Montanha";2;-;-;2
"320360 Mucurici";2;-;-;2
"320370 Muniz Freire";1;1;-;2
"320380 Muqui";1;-;-;1
"320390 Nova Venécia";7;1;-;8
"320400 Pancas";4;-;-;4
"320405 Pedro Canário";2;1;-;3
"320410 Pinheiros";3;-;1;4
"320420 Piúma";-;-;1;1
"320430 Presidente Kennedy";2;-;-;2
"320440 Rio Novo do Sul";-;1;-;1
"320450 Santa Leopoldina";4;-;-;4
"320455 Santa Maria de Jetibá";2;-;-;2
"320460 Santa Teresa";4;-;-;4
"320465 São Domingos do Norte";1;-;-;1
"320470 São Gabriel da Palha";3;1;-;4
"320480 São José do Calçado";1;-;-;1
"320490 São Mateus";20;3;-;23
"320500 Serra";45;5;5;55
"320501 Sooretama";1;-;-;1
"320503 Vargem Alta";3;-;-;3
"320506 Venda Nova do Imigrante";2;1;-;3
"320510 Viana";5;2;1;8
"320515 Vila Pavão";2;-;-;2
"320517 Vila Valério";1;-;-;1
"320520 Vila Velha";39;8;4;51
"320530 Vitória";35;4;2;41
"330010 Angra dos Reis";13;-;1;14
"330020 Araruama";11;1;1;13
"330022 Areal";4;-;-;4
"330023 Armação dos Búzios";4;-;-;4
"330025 Arraial do Cabo";3;-;1;4
"330030 Barra do Piraí";15;1;-;16
"330040 Barra Mansa";21;3;1;25
"330045 Belford Roxo";67;2;1;70
"330050 Bom Jardim";4;-;-;4
"330060 Bom Jesus do Itabapoana";2;-;-;2
"330070 Cabo Frio";28;3;-;31
"330080 Cachoeiras de Macacu";5;-;-;5
"330100 Campos dos Goytacazes";80;5;3;88
"330110 Cantagalo";1;-;-;1
"330093 Carapebus";1;-;1;2
"330115 Cardoso Moreira";1;1;-;2
"330120 Carmo";2;-;-;2
"330130 Casimiro de Abreu";2;1;-;3
"330095 Comendador Levy Gasparian";1;-;1;2
"330140 Conceição de Macabu";2;-;-;2
"330150 Cordeiro";5;1;-;6
"330170 Duque de Caxias";145;10;6;161
"330180 Engenheiro Paulo de Frontin";1;-;-;1
"330185 Guapimirim";4;1;-;5
"330187 Iguaba Grande";7;-;-;7
"330190 Itaboraí";24;1;2;27
"330200 Itaguaí";21;1;1;23
"330205 Italva";1;-;-;1
"330210 Itaocara";4;-;-;4
"330220 Itaperuna";9;1;3;13
"330225 Itatiaia";3;-;-;3
"330227 Japeri";14;-;1;15
"330230 Laje do Muriaé";1;-;-;1
"330240 Macaé";33;2;-;35
"330245 Macuco";1;-;-;1
"330250 Magé";30;7;2;39
"330260 Mangaratiba";4;-;-;4
"330270 Maricá";18;3;-;21
"330280 Mendes";2;-;-;2
"330285 Mesquita";18;3;1;22
"330290 Miguel Pereira";3;-;-;3
"330300 Miracema";3;-;1;4
"330310 Natividade";1;-;-;1
"330320 Nilópolis";24;1;3;28
"330330 Niterói";39;10;1;50
"330340 Nova Friburgo";18;1;3;22
"330350 Nova Iguaçu";134;11;8;153
"330360 Paracambi";3;-;-;3
"330370 Paraíba do Sul";10;2;-;12
"330380 Paraty";-;1;-;1
"330385 Paty do Alferes";7;-;-;7
"330390 Petrópolis";29;7;2;38
"330395 Pinheiral";2;-;-;2
"330400 Piraí";2;1;-;3
"330410 Porciúncula";3;-;-;3
"330411 Porto Real";1;-;-;1
"330414 Queimados";34;-;-;34
"330415 Quissamã";4;-;-;4
"330420 Resende";13;-;1;14
"330430 Rio Bonito";7;-;-;7
"330440 Rio Claro";1;-;-;1
"330450 Rio das Flores";2;-;-;2
"330452 Rio das Ostras";15;4;-;19
"330455 Rio de Janeiro";640;84;35;759
"330470 Santo Antônio de Pádua";3;-;-;3
"330480 São Fidélis";5;-;1;6
"330475 São Francisco de Itabapoana";5;-;-;5
"330490 São Gonçalo";103;4;5;112
"330500 São João da Barra";6;-;-;6
"330510 São João de Meriti";72;14;4;90
"330513 São José de Ubá";1;-;-;1
"330515 São José do Vale do Rio Preto";1;-;-;1
"330520 São Pedro da Aldeia";10;1;-;11
"330530 São Sebastião do Alto";-;-;1;1
"330540 Sapucaia";2;-;-;2
"330550 Saquarema";7;3;-;10
"330555 Seropédica";7;2;1;10
"330560 Silva Jardim";2;1;-;3
"330570 Sumidouro";1;-;-;1
"330575 Tanguá";3;-;2;5
"330580 Teresópolis";18;2;-;20
"330590 Trajano de Moraes";2;-;-;2
"330600 Três Rios";11;4;1;16
"330610 Valença";4;-;1;5
"330615 Varre-Sai";2;-;-;2
"330620 Vassouras";3;-;-;3
"330630 Volta Redonda";20;1;-;21
"330000 Município ignorado - RJ";5;1;-;6
"350010 Adamantina";2;-;2;4
"350030 Aguaí";4;-;-;4
"350040 Águas da Prata";1;-;-;1
"350050 Águas de Lindóia";1;2;-;3
"350070 Agudos";6;-;-;6
"350075 Alambari";-;1;-;1
"350080 Alfredo Marcondes";1;-;-;1
"350090 Altair";1;-;-;1
"350100 Altinópolis";2;-;-;2
"350115 Alumínio";4;1;-;5
"350130 Álvares Machado";5;-;-;5
"350160 Americana";13;1;-;14
"350170 Américo Brasiliense";3;-;-;3
"350180 Américo de Campos";-;1;-;1
"350190 Amparo";2;1;-;3
"350210 Andradina";8;-;1;9
"350220 Angatuba";1;-;-;1
"350250 Aparecida";2;-;-;2
"350270 Apiaí";3;-;-;3
"350275 Araçariguama";3;-;-;3
"350280 Araçatuba";19;1;3;23
"350290 Araçoiaba da Serra";2;-;-;2
"350310 Arandu";2;-;-;2
"350320 Araraquara";19;3;-;22
"350330 Araras";14;-;-;14
"350360 Areiópolis";2;-;-;2
"350380 Artur Nogueira";4;-;1;5
"350390 Arujá";17;1;-;18
"350400 Assis";7;1;-;8
"350410 Atibaia";15;-;2;17
"350420 Auriflama";-;1;-;1
"350440 Avanhandava";1;-;-;1
"350450 Avaré";9;2;-;11
"350490 Bananal";2;-;1;3
"350500 Barão de Antonina";1;1;-;2
"350520 Bariri";4;-;-;4
"350530 Barra Bonita";1;-;-;1
"350550 Barretos";14;2;-;16
"350560 Barrinha";1;-;-;1
"350570 Barueri";31;1;2;34
"350580 Bastos";1;1;-;2
"350590 Batatais";6;-;-;6
"350600 Bauru";45;1;3;49
"350610 Bebedouro";8;2;-;10
"350630 Bernardino de Campos";3;-;-;3
"350635 Bertioga";12;-;-;12
"350640 Bilac";2;-;-;2
"350650 Birigui";16;4;-;20
"350660 Biritiba-Mirim";5;-;-;5
"350670 Boa Esperança do Sul";3;-;-;3
"350680 Bocaina";3;-;-;3
"350700 Boituva";5;-;-;5
"350710 Bom Jesus dos Perdões";1;-;-;1
"350715 Bom Sucesso de Itararé";-;1;1;2
"350750 Botucatu";14;1;-;15
"350760 Bragança Paulista";8;1;2;11
"350775 Brejo Alegre";1;-;-;1
"350780 Brodowski";1;-;-;1
"350790 Brotas";1;1;-;2
"350800 Buri";2;-;-;2
"350810 Buritama";1;-;-;1
"350840 Cabreúva";10;-;2;12
"350850 Caçapava";7;2;-;9
"350860 Cachoeira Paulista";5;1;-;6
"350870 Caconde";2;-;-;2
"350900 Caieiras";8;-;-;8
"350920 Cajamar";9;-;-;9
"350925 Cajati";4;-;1;5
"350930 Cajobi";1;-;-;1
"350940 Cajuru";3;-;1;4
"350950 Campinas";81;11;7;99
"350960 Campo Limpo Paulista";7;3;-;10
"350970 Campos do Jordão";4;-;1;5
"350980 Campos Novos Paulista";2;-;-;2
"350990 Cananéia";2;-;-;2
"350995 Canas";2;-;-;2
"351000 Cândido Mota";4;-;-;4
"351015 Canitar";2;1;-;3
"351020 Capão Bonito";3;-;-;3
"351030 Capela do Alto";1;-;-;1
"351040 Capivari";11;1;-;12
"351050 Caraguatatuba";16;2;-;18
"351060 Carapicuíba";52;8;3;63
"351080 Casa Branca";-;1;-;1
"351100 Castilho";2;-;-;2
"351110 Catanduva";7;3;-;10
"351130 Cedral";1;1;-;2
"351150 Cerquilho";3;1;-;4
"351160 Cesário Lange";6;-;1;7
"351170 Charqueada";2;-;-;2
"351200 Colina";2;-;1;3
"351210 Colômbia";1;-;-;1
"351220 Conchal";3;1;-;4
"351230 Conchas";1;-;-;1
"351240 Cordeirópolis";1;-;-;1
"351280 Cosmópolis";5;1;-;6
"351300 Cotia";17;4;1;22
"351310 Cravinhos";4;-;-;4
"351320 Cristais Paulista";2;-;-;2
"351340 Cruzeiro";8;2;-;10
"351350 Cubatão";15;2;-;17
"351370 Descalvado";3;-;-;3
"351380 Diadema";51;3;2;56
"351390 Divinolândia";1;-;-;1
"351400 Dobrada";2;-;-;2
"351410 Dois Córregos";2;-;-;2
"351430 Dourado";3;-;-;3
"351440 Dracena";5;-;-;5
"351470 Echaporã";2;-;-;2
"351480 Eldorado";1;-;-;1
"351490 Elias Fausto";1;-;-;1
"351495 Embaúba";1;-;-;1
"351500 Embu das Artes";32;2;-;34
"351510 Embu-Guaçu";6;-;-;6
"351515 Engenheiro Coelho";1;-;-;1
"351518 Espírito Santo do Pinhal";2;1;-;3
"355730 Estiva Gerbi";1;-;-;1
"351520 Estrela d'Oeste";1;1;-;2
"351535 Euclides da Cunha Paulista";3;-;-;3
"351560 Fernando Prestes";1;-;-;1
"351550 Fernandópolis";5;-;-;5
"351570 Ferraz de Vasconcelos";18;1;-;19
"351600 Flórida Paulista";3;-;-;3
"351620 Franca";30;3;-;33
"351630 Francisco Morato";27;2;-;29
"351640 Franco da Rocha";22;1;-;23
"351650 Gabriel Monteiro";1;-;-;1
"351660 Gália";2;-;-;2
"351670 Garça";4;-;-;4
"351685 Gavião Peixoto";1;-;-;1
"351710 Glicério";-;1;-;1
"351730 Guaimbê";1;-;-;1
"351740 Guaíra";3;-;-;3
"351750 Guapiaçu";1;-;-;1
"351760 Guapiara";8;-;-;8
"351770 Guará";1;-;-;1
"351780 Guaraçaí";3;-;-;3
"351790 Guaraci";1;-;1;2
"351820 Guararapes";4;-;-;4
"351830 Guararema";3;-;-;3
"351840 Guaratinguetá";15;-;1;16
"351860 Guariba";4;-;-;4
"351870 Guarujá";59;6;1;66
"351880 Guarulhos";172;14;2;188
"351885 Guatapará";2;-;-;2
"351905 Holambra";-;-;1;1
"351907 Hortolândia";12;1;-;13
"351930 Ibaté";2;-;-;2
"351950 Ibirarema";1;-;-;1
"351960 Ibitinga";5;-;-;5
"351970 Ibiúna";13;-;-;13
"351980 Icém";1;-;-;1
"351990 Iepê";2;-;-;2
"352000 Igaraçu do Tietê";4;-;-;4
"352020 Igaratá";-;-;1;1
"352030 Iguape";8;-;-;8
"352042 Ilha Comprida";1;-;-;1
"352040 Ilhabela";3;-;-;3
"352050 Indaiatuba";18;3;1;22
"352060 Indiana";1;-;-;1
"352090 Ipaussu";2;1;-;3
"352100 Iperó";3;-;-;3
"352110 Ipeúna";1;-;-;1
"352130 Ipuã";1;-;-;1
"352140 Iracemápolis";2;-;-;2
"352150 Irapuã";1;1;-;2
"352160 Irapuru";1;-;-;1
"352170 Itaberá";6;1;1;8
"352190 Itajobi";1;-;-;1
"352210 Itanhaém";9;2;-;11
"352215 Itaóca";2;-;-;2
"352220 Itapecerica da Serra";14;1;-;15
"352230 Itapetininga";20;2;1;23
"352240 Itapeva";7;-;1;8
"352250 Itapevi";36;3;1;40
"352260 Itapira";13;-;-;13
"352270 Itápolis";3;1;-;4
"352280 Itaporanga";2;1;-;3
"352290 Itapuí";4;-;-;4
"352300 Itapura";2;-;-;2
"352310 Itaquaquecetuba";55;3;1;59
"352320 Itararé";6;-;-;6
"352330 Itariri";2;-;-;2
"352340 Itatiba";5;2;-;7
"352350 Itatinga";1;-;-;1
"352360 Itirapina";1;1;-;2
"352370 Itirapuã";2;-;-;2
"352390 Itu";17;2;2;21
"352400 Itupeva";11;1;-;12
"352410 Ituverava";1;2;-;3
"352420 Jaborandi";2;-;-;2
"352430 Jaboticabal";7;3;-;10
"352440 Jacareí";23;2;3;28
"352460 Jacupiranga";3;-;-;3
"352470 Jaguariúna";6;-;-;6
"352480 Jales";3;1;-;4
"352490 Jambeiro";3;-;-;3
"352500 Jandira";17;2;1;20
"352510 Jardinópolis";6;-;-;6
"352520 Jarinu";2;1;1;4
"352530 Jaú";14;1;-;15
"352550 Joanópolis";1;-;-;1
"352560 João Ramalho";1;-;-;1
"352570 José Bonifácio";-;1;-;1
"352590 Jundiaí";41;3;3;47
"352610 Juquiá";3;2;1;6
"352620 Juquitiba";2;-;-;2
"352640 Laranjal Paulista";2;-;-;2
"352650 Lavínia";1;-;-;1
"352670 Leme";11;-;1;12
"352680 Lençóis Paulista";3;-;1;4
"352690 Limeira";16;6;-;22
"352700 Lindóia";1;-;-;1
"352710 Lins";8;1;-;9
"352720 Lorena";6;1;1;8
"352730 Louveira";8;-;-;8
"352740 Lucélia";1;-;-;1
"352760 Luís Antônio";4;-;-;4
"352780 Lupércio";1;-;-;1
"352800 Macatuba";2;-;-;2
"352840 Mairinque";5;-;-;5
"352850 Mairiporã";8;1;-;9
"352870 Marabá Paulista";2;-;-;2
"352880 Maracaí";1;-;-;1
"352900 Marília";20;2;-;22
"352930 Matão";5;-;-;5
"352940 Mauá";38;3;1;42
"352960 Meridiano";1;-;-;1
"352970 Miguelópolis";2;1;-;3
"352980 Mineiros do Tietê";2;-;-;2
"352990 Miracatu";7;-;-;7
"353010 Mirandópolis";2;-;-;2
"353020 Mirante do Paranapanema";2;-;-;2
"353030 Mirassol";2;-;-;2
"353050 Mococa";6;-;-;6
"353060 Mogi das Cruzes";41;1;1;43
"353070 Mogi Guaçu";13;1;2;16
"353080 Mogi Mirim";6;-;-;6
"353110 Mongaguá";11;-;1;12
"353130 Monte Alto";7;1;-;8
"353140 Monte Aprazível";1;1;-;2
"353150 Monte Azul Paulista";2;-;-;2
"353180 Monte Mor";8;1;1;10
"353190 Morro Agudo";2;-;-;2
"353210 Murutinga do Sul";1;-;-;1
"353230 Natividade da Serra";1;-;-;1
"353240 Nazaré Paulista";2;-;-;2
"353250 Neves Paulista";1;-;-;1
"353280 Nova Aliança";1;-;-;1
"353282 Nova Campina";1;1;-;2
"353286 Nova Castilho";1;-;-;1
"353290 Nova Europa";1;2;-;3
"353300 Nova Granada";1;-;-;1
"353340 Nova Odessa";3;-;-;3
"353325 Novais";2;-;-;2
"353350 Novo Horizonte";1;-;-;1
"353360 Nuporanga";2;-;-;2
"353380 Óleo";1;-;-;1
"353390 Olímpia";7;-;-;7
"353410 Oriente";1;-;-;1
"353420 Orindiúva";1;-;-;1
"353440 Osasco";93;13;5;111
"353460 Osvaldo Cruz";2;-;-;2
"353470 Ourinhos";4;2;-;6
"353480 Ouro Verde";1;-;-;1
"353500 Palestina";1;-;-;1
"353510 Palmares Paulista";2;-;-;2
"353520 Palmeira d'Oeste";1;-;-;1
"353530 Palmital";1;-;1;2
"353540 Panorama";3;-;-;3
"353550 Paraguaçu Paulista";6;1;-;7
"353570 Paraíso";1;-;-;1
"353580 Paranapanema";1;-;1;2
"353590 Paranapuã";-;1;-;1
"353600 Parapuã";1;-;-;1
"353620 Pariquera-Açu";1;-;-;1
"353625 Parisi";2;-;-;2
"353630 Patrocínio Paulista";3;-;-;3
"353640 Paulicéia";-;1;-;1
"353650 Paulínia";7;1;-;8
"353670 Pederneiras";3;-;-;3
"353700 Pedregulho";1;-;-;1
"353710 Pedreira";3;-;-;3
"353720 Pedro de Toledo";2;-;-;2
"353730 Penápolis";5;-;-;5
"353740 Pereira Barreto";1;-;-;1
"353750 Pereiras";1;1;-;2
"353760 Peruíbe";13;2;-;15
"353780 Piedade";4;-;-;4
"353790 Pilar do Sul";2;1;-;3
"353800 Pindamonhangaba";20;3;1;24
"353810 Pindorama";1;-;-;1
"353820 Pinhalzinho";2;-;-;2
"353860 Piracaia";-;1;-;1
"353870 Piracicaba";34;5;2;41
"353880 Piraju";2;-;-;2
"353890 Pirajuí";3;-;-;3
"353900 Pirangi";2;-;-;2
